epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.65,0.9774,3.52349,1.04038,0.07159,0.44131,0.13356,0.06886,0.59967,3.33251,0.84325,3.334e-05,3.334e-05,3.334e-05
2,636.908,0.84661,3.2821,0.9665,0.13926,0.7277,0.63254,0.42063,0.76863,3.18778,0.85315,8.16997e-05,8.16997e-05,8.16997e-05
3,872.025,0.81285,2.80544,0.89777,0.20819,0.83568,0.75165,0.51026,0.80153,3.0959,0.85098,0.000128079,0.000128079,0.000128079
4,1120.6,0.79246,1.93783,0.87671,0.23155,0.85446,0.85041,0.56737,0.80856,2.94526,0.84209,0.000172478,0.000172478,0.000172478
5,1306.76,0.74455,1.25814,0.86478,0.23938,0.87324,0.84318,0.59363,0.79039,2.67036,0.84209,0.000214896,0.000214896,0.000214896
6,1519.56,0.75489,1.0107,0.90021,0.9709,0.68545,0.85807,0.59405,0.8918,2.54825,0.85859,0.000255334,0.000255334,0.000255334
7,1761.18,0.69365,0.84605,0.86918,0.28181,0.96714,0.92554,0.72063,0.77471,2.38934,0.84122,0.000293792,0.000293792,0.000293792
8,2004.31,0.67347,0.76775,0.88054,0.29769,0.96714,0.92798,0.75233,0.79984,2.31821,0.84631,0.000330269,0.000330269,0.000330269
9,2239.7,0.65731,0.7255,0.85549,1,0.62295,0.96124,0.79768,0.77011,2.13275,0.84601,0.000364766,0.000364766,0.000364766
10,2521.91,0.60926,0.68671,0.85676,1,0.65638,0.97413,0.81835,0.74045,2.02044,0.83911,0.000397283,0.000397283,0.000397283
11,2756.14,0.64067,0.78101,0.87591,1,0.71956,0.9837,0.83572,0.70385,1.8922,0.83925,0.000427819,0.000427819,0.000427819
12,3006.09,0.61821,0.65684,0.85604,0.98743,0.7377,0.98252,0.83971,0.67539,1.8821,0.83791,0.000456375,0.000456375,0.000456375
13,3198.06,0.60878,0.66179,0.85239,0.98015,0.79812,0.97806,0.81696,0.68894,1.82363,0.83853,0.00048295,0.00048295,0.00048295
14,3395.88,0.58032,0.62837,0.84758,0.97699,0.79731,0.97552,0.81878,0.67743,1.80899,0.83855,0.000507545,0.000507545,0.000507545
15,3587.36,0.56496,0.60892,0.83854,0.98293,0.81091,0.97868,0.84278,0.6049,1.72655,0.82755,0.000530159,0.000530159,0.000530159
16,3789.07,0.55322,0.58837,0.8332,0.97178,0.80821,0.9763,0.83742,0.61796,1.75036,0.82849,0.000550793,0.000550793,0.000550793
17,4028.31,0.54923,0.57932,0.82877,0.98367,0.84864,0.98055,0.83375,0.59935,1.7328,0.8251,0.000569447,0.000569447,0.000569447
18,4235.35,0.52274,0.57336,0.83215,0.98428,0.88215,0.98299,0.8392,0.59298,1.62774,0.82344,0.000586121,0.000586121,0.000586121
19,4457.62,0.51618,0.57238,0.82529,0.96587,0.92992,0.98134,0.84493,0.57752,1.45494,0.82109,0.000600813,0.000600813,0.000600813
20,4680.39,0.52991,0.56426,0.83536,0.97135,0.96244,0.98421,0.84743,0.57392,1.258,0.80859,0.000613526,0.000613526,0.000613526
